key,ChineseSimplified,Japanese,ChineseTraditional,English,韩,,,,,,,,,,,,,,
ButterflyUI01,破茧成蝶,,,,,,,,,,,,,,,,,,
ButterflyUI02,去收集,,,,,,,,,,,,,,,,,,
ButterflyUI03,蝶园选择,,,,,,,,,,,,,,,,,,
ButterflyUI04,蝶园图鉴,,,,,,,,,,,,,,,,,,
ButterflyUI05,收集莲花，激活蝶蛹,,,,,,,,,,,,,,,,,,
ButterflyUI06,获得蝶蛹,,,,,,,,,,,,,,,,,,
ButterflyUI07,积累蝶蛹解锁蝴蝶,,,,,,,,,,,,,,,,,,
ButterflyUI08,点击继续,,,,,,,,,,,,,,,,,,
ButterflyName101,青斑蝶,,,,,,,,,,,,,,,,,,
ButterflyName102,大白斑蝶,,,,,,,,,,,,,,,,,,
ButterflyName103,大天堂鸟翼凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName104,双尾蛱蝶,,,,,,,,,,,,,,,,,,
ButterflyName105,三尾螯蛱蝶,,,,,,,,,,,,,,,,,,
ButterflyName106,斑缘豆粉蝶,,,,,,,,,,,,,,,,,,
ButterflyName107,阿波罗绢蝶,,,,,,,,,,,,,,,,,,
ButterflyName108,玉牙美凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName109,鸟翼裳凤蝶雌蝶,,,,,,,,,,,,,,,,,,
ButterflyName110,端红蝶,,,,,,,,,,,,,,,,,,
ButterflyName111,八目丝蛱蝶,,,,,,,,,,,,,,,,,,
ButterflyName112,豆粉蝶,,,,,,,,,,,,,,,,,,
ButterflyName113,粉蝶,,,,,,,,,,,,,,,,,,
ButterflyName114,白伞弄蝶,,,,,,,,,,,,,,,,,,
ButterflyName115,虎斑蝶,,,,,,,,,,,,,,,,,,
ButterflyName116,非洲白凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName117,美姝凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName118,达摩麝凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName119,虎斑玳瑁凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName120,天堂凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName121,白蝴蝶,,,,,,,,,,,,,,,,,,
ButterflyName122,绿袖蝶,,,,,,,,,,,,,,,,,,
ButterflyName123,柑橘凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName124,红带黑粉蝶,,,,,,,,,,,,,,,,,,
ButterflyName125,青带透翅蛱蝶,,,,,,,,,,,,,,,,,,
ButterflyName126,窄斑翠凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName127,红带袖蝶,,,,,,,,,,,,,,,,,,
ButterflyName128,云豹蛱蝶,,,,,,,,,,,,,,,,,,
ButterflyName129,瓦曙凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName130,幻紫斑蛱蝶,,,,,,,,,,,,,,,,,,
ButterflyName201,双尾褐凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName202,大燕尾蝶,,,,,,,,,,,,,,,,,,
ButterflyName203,玫瑰青凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName204,褐钩凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName205,美凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName206,苔美凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName207,尤利西斯蝶,,,,,,,,,,,,,,,,,,
ButterflyName208,黄凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName209,大黄带凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName210,钩凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName211,蓝裙美凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName212,红斑美凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName213,巴黎翠凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName214,交脉环蝶,,,,,,,,,,,,,,,,,,
ButterflyName215,猫蛱蝶,,,,,,,,,,,,,,,,,,
ButterflyName216,里士满鸟翼凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName217,黑脉蛱蝶,,,,,,,,,,,,,,,,,,
ButterflyName218,红尖粉翅蝶,,,,,,,,,,,,,,,,,,
ButterflyName219,努里斯裳凤蝶,,,,,,,,,,,,,,,,,,
ButterflyName220,大紫蛱蝶,,,,,,,,,,,,,,,,,,
ButterflyName221,珍珠贝蛱蝶,,,,,,,,,,,,,,,,,,
ButterflyName222,翠叶红颈凤蝶,,,,,,,,,,,,,,,,,,
