key,ChineseSimplified,,,,,,,,,,,,,,,
ButterflyUI01,合成,,,,,,,,,,,,,,,
ButterflyUI02,去收集,,,,,,,,,,,,,,,
ButterflyUI03,蝶园选择,,,,,,,,,,,,,,,
ButterflyUI04,蝶园图鉴,,,,,,,,,,,,,,,
ButterflyUI05,连出成语，消融冰块,,,,,,,,,,,,,,,
ButterflyUI06,获得蝶蛹,,,,,,,,,,,,,,,
ButterflyUI07,累计蝶蛹获得蝴蝶,,,,,,,,,,,,,,,
ButterflyUI08,点击关闭,,,,,,,,,,,,,,,
ButterflyName101,青斑蝶,,,,,,,,,,,,,,,
ButterflyName102,大白斑蝶,,,,,,,,,,,,,,,
ButterflyName103,大天堂鸟翼凤蝶,,,,,,,,,,,,,,,
ButterflyName104,双尾蛱蝶,,,,,,,,,,,,,,,
ButterflyName105,三尾螯蛱蝶,,,,,,,,,,,,,,,
ButterflyName106,斑缘豆粉蝶,,,,,,,,,,,,,,,
ButterflyName107,阿波罗绢蝶,,,,,,,,,,,,,,,
ButterflyName108,玉牙美凤蝶,,,,,,,,,,,,,,,
ButterflyName109,鸟翼裳凤蝶雌蝶,,,,,,,,,,,,,,,
ButterflyName110,端红蝶,,,,,,,,,,,,,,,
ButterflyName111,八目丝蛱蝶,,,,,,,,,,,,,,,
ButterflyName112,豆粉蝶,,,,,,,,,,,,,,,
ButterflyName113,粉蝶,,,,,,,,,,,,,,,
ButterflyName114,白伞弄蝶,,,,,,,,,,,,,,,
ButterflyName115,虎斑蝶,,,,,,,,,,,,,,,
ButterflyName116,非洲白凤蝶,,,,,,,,,,,,,,,
ButterflyName117,美姝凤蝶,,,,,,,,,,,,,,,
ButterflyName118,达摩麝凤蝶,,,,,,,,,,,,,,,
ButterflyName119,虎斑玳瑁凤蝶,,,,,,,,,,,,,,,
ButterflyName120,天堂凤蝶,,,,,,,,,,,,,,,
ButterflyName121,白蝴蝶,,,,,,,,,,,,,,,
ButterflyName122,绿袖蝶,,,,,,,,,,,,,,,
ButterflyName123,柑橘凤蝶,,,,,,,,,,,,,,,
